        N,        T,        X,     F(x),        P,   passed
        1,10000.000000,-1.710210, 0.130163, 1.000000,     true
        2,9500.000000,-1.350018,-0.191409, 1.000000,     true
        3,9025.000000,-0.277294,-0.260070, 1.000000,     true
        4,8573.750000,-1.895750, 0.305176, 0.999934,     true
        5,8145.062500,-0.760586,-0.464667, 1.000000,     true
        6,7737.809375,-0.201817,-0.195079, 0.999965,     true
        7,7350.918906,-1.828658, 0.242185, 0.999941,     true
        8,6983.372961,-1.923237, 0.330755, 0.999987,     true
        9,6634.204313,-0.640257,-0.453157, 1.000000,     true
       10,6302.494097,-1.562907,-0.007226, 0.999929,     true
       11,5987.369392,-1.143781,-0.337820, 1.000000,     true
       12,5688.000923,-1.183495,-0.312936, 0.999996,     true
       13,5403.600877,-0.346907,-0.313755, 1.000000,     true
       14,5133.420833,-1.551631,-0.017517, 0.999942,     true
       15,4876.749791,-1.693912, 0.114779, 0.999973,     true
       16,4632.912302,-0.136839,-0.134720, 1.000000,     true
       17,4401.266687,-0.952396,-0.429504, 1.000000,     true
       18,4181.203352,-0.863210,-0.453641, 1.000000,     true
       19,3972.143185,-0.355366,-0.319812, 0.999966,     true
       20,3773.536025,-0.593601,-0.441390, 1.000000,     true
       21,3584.859224,-0.010931,-0.010930, 0.999880,     true
       22,3405.616263,-0.339420,-0.308306, 1.000000,     true
       23,3235.335450,-1.879505, 0.289988, 0.999815,     true
       24,3073.568677,-0.099389,-0.098574, 1.000000,     true
       25,2919.890243,-1.356287,-0.186372, 1.000000,     true
       26,2773.895731,-0.116505,-0.115194, 0.999974,     true
       27,2635.200945,-1.801656, 0.216682, 0.999874,     true
       28,2503.440897,-1.818013, 0.232138, 0.999994,     true
       29,2378.268853,-0.492713,-0.402084, 1.000000,     true
       30,2259.355410,-0.411687,-0.357327, 0.999980,     true
       31,2146.387639,-0.164002,-0.160366, 0.999908,     true
       32,2039.068257,-0.788736,-0.463504, 1.000000,     true
       33,1937.114845,-1.785591, 0.201486, 0.999657,     true
       34,1840.259102,-1.084505,-0.371480, 1.000000,     true
       35,1748.246147,-1.709720, 0.129699, 0.999713,     true
       36,1660.833840,-0.231015,-0.220961, 1.000000,     true
       37,1577.792148,-0.766634,-0.464538, 1.000000,     true
       38,1498.902540,-0.824709,-0.459952, 0.999997,     true
       39,1423.957413,-0.832534,-0.458877, 0.999999,     true
       40,1352.759543,-1.616129, 0.041876, 0.999630,     true
       41,1285.121566,-1.570584,-0.000195, 1.000000,     true
       42,1220.865487,-1.849236, 0.261573, 0.999786,     true
       43,1159.822213,-1.705066, 0.125305, 1.000000,     true
       44,1101.831102,-1.512047,-0.053273, 1.000000,     true
       45,1046.739547,-0.525447,-0.416886, 1.000000,     true
       46,994.402570,-0.491595,-0.401544, 0.999985,     true
       47,944.682441,-0.209401,-0.201884, 0.999789,     true
       48,897.448319,-0.763121,-0.464621, 1.000000,     true
       49,852.575903,-0.216452,-0.208160, 0.999699,     true
       50,809.947108,-1.180931,-0.314596, 1.000000,     true
       51,769.449753,-0.642347,-0.453588, 1.000000,     true
       52,730.977265,-0.319026,-0.293053, 0.999780,     true
       53,694.428402,-0.206154,-0.198978, 0.999865,     true
       54,659.706982,-0.818228,-0.460761, 1.000000,     true
       55,626.721633,-0.685099,-0.460606, 1.000000,     true
       56,595.385551,-0.898221,-0.445715, 0.999975,     true
       57,565.616274,-0.441696,-0.375216, 0.999875,     true
       58,537.335460,-0.802470,-0.462419, 1.000000,     true
       59,510.468687,-0.870842,-0.452089, 0.999980,     true
       60,484.945252,-0.372451,-0.331717, 0.999752,     true
       61,460.697990,-1.494005,-0.069356, 0.999431,     true
       62,437.663090,-1.794480, 0.209896, 0.999362,     true
       63,415.779936,-1.860488, 0.272152, 0.999850,     true
       64,394.990939,-1.652609, 0.075936, 1.000000,     true
       65,375.241392,-0.362081,-0.324544, 1.000000,     true
       66,356.479323,-0.955848,-0.428314, 1.000000,     true
       67,338.655356,-0.884063,-0.449167, 1.000000,     true
       68,321.722589,-0.797975,-0.462811, 1.000000,     true
       69,305.636459,-0.434208,-0.370894, 0.999699,     true
       70,290.354636,-1.814254, 0.228588, 0.997937,     true
       71,275.836904,-0.458533,-0.384585, 1.000000,     true
       72,262.045059,-1.125152,-0.348863, 0.999864,     true
       73,248.942806,-1.993057, 0.394879, 0.997017,     true
       74,236.495666,-1.098326,-0.364023, 1.000000,     true
       75,224.670883,-0.978015,-0.420235, 1.000000,     true
       76,213.437338,-0.431229,-0.369148, 0.999761,     true
       77,202.765472,-1.562791,-0.007332, 0.998217,     true
       78,192.627198,-0.820475,-0.460489, 1.000000,     true
       79,182.995838,-1.913166, 0.321402, 0.995736,     true
       80,173.846046,-1.115756,-0.354274, 1.000000,     true
       81,165.153744,-0.154403,-0.151365, 0.998772,     true
       82,156.896057,-1.310631,-0.222368, 1.000000,     true
       83,149.051254,-0.324494,-0.297200, 1.000000,     true
       84,141.598691,-1.916730, 0.324714, 0.995618,     true
       85,134.518757,-0.214072,-0.206048, 1.000000,     true
       86,127.792819,-0.283732,-0.265306, 1.000000,     true
       87,121.403178,-1.276489,-0.248175, 0.999859,     true
       88,115.333019,-0.527410,-0.417711, 1.000000,     true
       89,109.566368,-0.996122,-0.413085, 0.999958,     true
       90,104.088050,-0.379900,-0.336766, 0.999267,     true
       91,98.883647,-0.124208,-0.122621, 0.997837,     true
       92,93.939465,-1.137754,-0.341438, 1.000000,     true
       93,89.242492,-1.909198, 0.317710, 0.992641,     true
       94,84.780367,-0.020642,-0.020634, 1.000000,     true
       95,80.541349,-1.021575,-0.402223, 1.000000,     true
       96,76.514281,-0.171565,-0.167407, 0.996936,     true
       97,72.688567,-0.071892,-0.071583, 0.998683,     true
       98,69.054139,-1.772427, 0.189027, 0.996233,     true
       99,65.601432,-0.820466,-0.460490, 1.000000,     true
      100,62.321360,-0.605401,-0.444753, 0.999748,     true
      101,59.205292,-0.976788,-0.420701, 0.999594,     true
      102,56.245028,-0.754018,-0.464731, 1.000000,     true
      103,53.432776,-0.288371,-0.269047, 0.996344,     true
      104,50.761137,-0.702432,-0.462474, 1.000000,     true
      105,48.223081,-1.621856, 0.047204, 0.989486,     true
      106,45.811927,-0.154362,-0.151327, 1.000000,     true
      107,43.521330,-1.420569,-0.133157, 0.999583,     true
      108,41.345264,-0.580784,-0.437442, 1.000000,     true
      109,39.278000,-1.156829,-0.329842, 0.997264,     true
      110,37.314100,-0.551463,-0.427256, 1.000000,     true
      111,35.448395,-0.305650,-0.282734, 0.995931,     true
      112,33.675976,-1.654178, 0.077408, 0.989363,     true
      113,31.992177,-0.046941,-0.046855, 1.000000,     true
      114,30.392568,-1.761447, 0.178633, 0.992608,     true
      115,28.872940,-0.948366,-0.430870, 1.000000,     true
      116,27.429293,-0.697925,-0.462042, 1.000000,     true
      117,26.057828,-1.993292, 0.395092, 0.967642,     true
      118,24.754937,-0.870526,-0.452155, 1.000000,     true
      119,23.517190,-0.360924,-0.323733, 0.994554,     true
      120,22.341330,-0.053803,-0.053673, 0.987985,     true
      121,21.224264,-1.010819,-0.406927, 1.000000,     true
      122,20.163051,-1.014018,-0.405545, 0.999931,     true
      123,19.154898,-1.568236,-0.002347, 0.979171,     true
      124,18.197153,-1.921631, 0.329264, 0.981942,     true
      125,17.287296,-0.163113,-0.159536, 1.000000,     true
      126,16.422931,-0.070784,-0.070489, 0.994593,     true
      127,15.601784,-1.963999, 0.368357, 0.972264,     true
      128,14.821695,-0.514757,-0.412265, 1.000000,     true
      129,14.080610,-0.621918,-0.449020, 1.000000,     true
      130,13.376580,-1.472503,-0.088327, 0.973396,     true
      131,12.707751,-1.553319,-0.015979, 0.994323,     true
      132,12.072363,-1.941226, 0.347402, 0.970348,     true
      133,11.468745,-0.573286,-0.434989, 1.000000,     true
      134,10.895308,-1.820803, 0.234772, 0.940379,     true
      135,10.350542,-1.288664,-0.239087, 1.000000,     true
      136, 9.833015,-1.180502,-0.314873, 1.000000,     true
      137, 9.341365,-0.684732,-0.460560, 1.000000,     true
      138, 8.874296,-0.494565,-0.402973, 0.993532,     true
      139, 8.430581,-1.961130, 0.365724, 0.912854,     true
      140, 8.009052,-0.468011,-0.389643, 1.000000,     true
      141, 7.608600,-1.719243, 0.138698, 0.932916,     true
      142, 7.228170,-0.223793,-0.214641, 1.000000,     true
      143, 6.866761,-1.888161, 0.298088, 0.928051,     true
      144, 6.523423,-1.173653,-0.319268, 1.000000,     true
      145, 6.197252,-0.015539,-0.015536, 0.952171,     true
      146, 5.887389,-0.366470,-0.327600, 1.000000,     true
      147, 5.593020,-1.368719,-0.176299, 0.973311,     true
      148, 5.313369,-0.758735,-0.464693, 1.000000,     true
      149, 5.047701,-0.137794,-0.135630, 0.936889,     true
      150, 4.795316,-1.751772, 0.169474, 0.938356,     true
      151, 4.555550,-1.489080,-0.073721, 1.000000,     true
      152, 4.327772,-0.133080,-0.131130, 1.000000,     true
      153, 4.111384,-0.349350,-0.315515, 1.000000,     true
      154, 3.905814,-1.989139, 0.391318, 0.834461,     true
      155, 3.710524,-0.259476,-0.245309, 1.000000,     true
      156, 3.524998,-0.339077,-0.308054, 1.000000,     true
      157, 3.348748,-1.338037,-0.200954, 0.968524,     true
      158, 3.181310,-0.859950,-0.454274, 1.000000,     true
      159, 3.022245,-0.603039,-0.444101, 0.996639,     true
      160, 2.871133,-0.603039,-0.444101, 0.823181,    false
      161, 2.727576,-0.603039,-0.444101, 0.780474,    false
      162, 2.591197,-0.923506,-0.438733, 0.997931,     true
      163, 2.461637,-1.270859,-0.252332, 0.927074,     true
      164, 2.338555,-0.890852,-0.447553, 1.000000,     true
      165, 2.221628,-0.538646,-0.422302, 0.988699,     true
      166, 2.110546,-0.444354,-0.376727, 0.978638,     true
      167, 2.005019,-1.050239,-0.388888, 1.000000,     true
      168, 1.904768,-1.329186,-0.207934, 0.909373,     true
      169, 1.809530,-0.313871,-0.289105, 1.000000,     true
      170, 1.719053,-1.337026,-0.201754, 0.950456,     true
      171, 1.633100,-1.016755,-0.404351, 1.000000,     true
      172, 1.551445,-1.016755,-0.404351, 0.745450,    false
      173, 1.473873,-1.016755,-0.404351, 0.652184,    false
      174, 1.400180,-1.836272, 0.249364, 0.626956,     true
      175, 1.330171,-1.974525, 0.377993, 0.907827,     true
      176, 1.263662,-0.178725,-0.174029, 1.000000,     true
      177, 1.200479,-1.234164,-0.278710, 1.000000,     true
      178, 1.140455,-0.203575,-0.196661, 0.930583,     true
      179, 1.083432,-0.203575,-0.196661, 0.751637,    false
      180, 1.029261,-1.996585, 0.398081, 0.561112,     true
      181, 0.977798,-1.216938,-0.290643, 1.000000,     true
      182, 0.928908,-0.666643,-0.457998, 1.000000,     true
      183, 0.882462,-0.814770,-0.461162, 1.000000,     true
      184, 0.838339,-0.814770,-0.461162, 0.531710,    false
      185, 0.796422,-0.233463,-0.223091, 0.741614,     true
      186, 0.756601,-1.130304,-0.345850, 1.000000,     true
      187, 0.718771,-0.242328,-0.230749, 0.852027,     true
      188, 0.682833,-0.657159,-0.456409, 1.000000,     true
      189, 0.648691,-1.288384,-0.239297, 0.715559,     true
      190, 0.616256,-1.144966,-0.337104, 1.000000,     true
      191, 0.585444,-0.902389,-0.444636, 1.000000,     true
      192, 0.556171,-0.921432,-0.439345, 0.990532,     true
      193, 0.528363,-1.958962, 0.363734, 0.218725,     true
      194, 0.501945,-1.876002, 0.286707, 1.000000,     true
      195, 0.476847,-0.705947,-0.462785, 1.000000,     true
      196, 0.453005,-1.300059,-0.230465, 0.598792,     true
      197, 0.430355,-1.219259,-0.289053, 1.000000,     true
      198, 0.408837,-0.176238,-0.171734, 0.750543,     true
      199, 0.388395,-0.870971,-0.452061, 1.000000,     true
      200, 0.368975,-0.870971,-0.452061, 0.286201,    false
      201, 0.350527,-0.665977,-0.457892, 1.000000,     true
      202, 0.333000,-0.540319,-0.422966, 0.900431,     true
      203, 0.316350,-0.184920,-0.179723, 0.463521,     true
      204, 0.300533,-0.379573,-0.336547, 1.000000,     true
      205, 0.285506,-0.169255,-0.165261, 0.548847,     true
      206, 0.271231,-1.458500,-0.100558, 0.787767,     true
      207, 0.257669,-0.210737,-0.203077, 1.000000,     true
      208, 0.244786,-0.126351,-0.124681, 0.725956,     true
      209, 0.232547,-0.126351,-0.124681, 0.218887,    false
      210, 0.220919,-1.326271,-0.210220, 1.000000,     true
      211, 0.209873,-1.326271,-0.210220, 0.080371,    false
      212, 0.199380,-1.485231,-0.077124, 0.512961,     true
      213, 0.189411,-0.336916,-0.306465, 1.000000,     true
      214, 0.179940,-0.336916,-0.306465, 0.147236,    false
      215, 0.170943,-1.073409,-0.377287, 1.000000,     true
      216, 0.162396,-1.028483,-0.399114, 1.000000,     true
      217, 0.154276,-0.881558,-0.449743, 1.000000,     true
      218, 0.146562,-0.881558,-0.449743, 0.435646,    false
      219, 0.139234,-0.881558,-0.449743, 0.152573,    false
      220, 0.132272,-0.881558,-0.449743, 0.447918,    false
      221, 0.125659,-0.881558,-0.449743, 0.036806,    false
      222, 0.119376,-0.298224,-0.276900, 0.235066,     true
      223, 0.113407,-0.883395,-0.449322, 1.000000,     true
      224, 0.107737,-0.640053,-0.453115, 1.000000,     true
      225, 0.102350,-0.640053,-0.453115, 0.150279,    false
      226, 0.097232,-0.640053,-0.453115, 0.000415,    false
      227, 0.092371,-0.640053,-0.453115, 0.002328,    false
      228, 0.087752,-0.640053,-0.453115, 0.014843,    false
      229, 0.083365,-0.919155,-0.440009, 0.854521,     true
      230, 0.079196,-0.919155,-0.440009, 0.057502,    false
      231, 0.075237,-0.919155,-0.440009, 0.255233,    false
      232, 0.071475,-0.919155,-0.440009, 0.000008,    false
      233, 0.067901,-0.706067,-0.462795, 1.000000,     true
      234, 0.064506,-0.706067,-0.462795, 0.001128,    false
      235, 0.061281,-1.066980,-0.380578, 0.261417,     true
      236, 0.058217,-1.007328,-0.408418, 1.000000,     true
      237, 0.055306,-0.575813,-0.435827, 1.000000,     true
      238, 0.052541,-0.582474,-0.437980, 1.000000,     true
      239, 0.049914,-0.582474,-0.437980, 0.000000,    false
      240, 0.047418,-0.582474,-0.437980, 0.176598,    false
      241, 0.045047,-0.582474,-0.437980, 0.000000,    false
      242, 0.042795,-0.578139,-0.436588, 0.968010,     true
      243, 0.040655,-0.578139,-0.436588, 0.008345,    false
      244, 0.038622,-0.578139,-0.436588, 0.000001,    false
      245, 0.036691,-0.578139,-0.436588, 0.004039,    false
      246, 0.034856,-0.578139,-0.436588, 0.000000,    false
      247, 0.033114,-0.578139,-0.436588, 0.000390,    false
      248, 0.031458,-0.666263,-0.457938, 1.000000,     true
      249, 0.029885,-0.753841,-0.464732, 1.000000,     true
      250, 0.028391,-0.753841,-0.464732, 0.323764,    false
      251, 0.026971,-0.753841,-0.464732, 0.003666,    false
      252, 0.025623,-0.753841,-0.464732, 0.000096,    false
      253, 0.024342,-0.551583,-0.427301, 0.214868,     true
      254, 0.023124,-0.717295,-0.463630, 1.000000,     true
      255, 0.021968,-0.717295,-0.463630, 0.000130,    false
      256, 0.020870,-0.717295,-0.463630, 0.000000,    false
      257, 0.019826,-0.717295,-0.463630, 0.001370,    false
      258, 0.018835,-0.717295,-0.463630, 0.000000,    false
      259, 0.017893,-0.717295,-0.463630, 0.000000,    false
      260, 0.016999,-0.717295,-0.463630, 0.000000,    false
      261, 0.016149,-0.717295,-0.463630, 0.000000,    false
      262, 0.015341,-0.717295,-0.463630, 0.000000,    false
      263, 0.014574,-0.717295,-0.463630, 0.000122,    false
      264, 0.013845,-0.717295,-0.463630, 0.000000,    false
      265, 0.013153,-0.717295,-0.463630, 0.129297,    false
      266, 0.012496,-0.717295,-0.463630, 0.000001,    false
      267, 0.011871,-0.717295,-0.463630, 0.003099,    false
      268, 0.011277,-0.783941,-0.463803, 1.000000,     true
      269, 0.010713,-0.783941,-0.463803, 0.000000,    false
      270, 0.010178,-0.783941,-0.463803, 0.000000,    false
